Award Title,Movie Title,Nominee Name(s),Won,Year
Writing (Adapted Screenplay),Living,Kazuo Ishiguro,0,2023
Writing (Adapted Screenplay),Top Gun: Maverick,"Ehren Kruger, Eric Warren Singer, Christopher McQuarrie; Story by Peter Craig and Justin Marks",0,2023
Writing (Original Screenplay),Everything Everywhere All at Once,Daniel Kwan & Daniel Scheinert,1,2023
Writing (Original Screenplay),The Banshees of Inisherin,Martin McDonagh,0,2023
Writing (Original Screenplay),The Fabelmans,Steven Spielberg & Tony Kushner,0,2023
Writing (Original Screenplay),Tár,Todd Field,0,2023
Writing (Original Screenplay),Triangle of Sadness,Ruben Östlund,0,2023
Actor in a Leading Role,King Richard,Will Smith,1,2022
Actor in a Leading Role,Being the Ricardos,Javier Bardem,0,2022
Actor in a Leading Role,The Power of the Dog,Benedict Cumberbatch,0,2022
Actor in a Leading Role,"tick, tick...BOOM!",Andrew Garfield,0,2022
Actor in a Leading Role,The Tragedy of Macbeth,Denzel Washington,0,2022
Actor in a Supporting Role,CODA,Troy Kotsur,1,2022
Actor in a Supporting Role,Belfast,Ciarán Hinds,0,2022
Actor in a Supporting Role,The Power of the Dog,Jesse Plemons,0,2022
Actor in a Supporting Role,Being the Ricardos,J.K. Simmons,0,2022
Actor in a Supporting Role,The Power of the Dog,Kodi Smit-McPhee,0,2022
Actress in a Leading Role,The Eyes of Tammy Faye,Jessica Chastain,1,2022
Actress in a Leading Role,The Lost Daughter,Olivia Colman,0,2022
Actress in a Leading Role,Parallel Mothers,Penélope Cruz,0,2022
Actress in a Leading Role,Being the Ricardos,Nicole Kidman,0,2022
Actress in a Leading Role,Spencer,Kristen Stewart,0,2022
Actress in a Supporting Role,West Side Story,Ariana DeBose,1,2022
Actress in a Supporting Role,The Lost Daughter,Jessie Buckley,0,2022
Actress in a Supporting Role,Belfast,Judi Dench,0,2022
Actress in a Supporting Role,The Power of the Dog,Kirsten Dunst,0,2022
Actress in a Supporting Role,King Richard,Aunjanue Ellis,0,2022
Animated Feature Film,Encanto,"Jared Bush, Byron Howard, Yvett Merino and Clark Spencer",1,2022
Animated Feature Film,Flee,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie",0,2022
Animated Feature Film,Luca,Enrico Casarosa and Andrea Warren,0,2022
Animated Feature Film,The Mitchells vs. the Machines,"Mike Rianda, Phil Lord, Christopher Miller and Kurt Albrecht",0,2022
Animated Feature Film,Raya and the Last Dragon,"Don Hall, Carlos López Estrada, Osnat Shurer and Peter Del Vecho",0,2022
Cinematography,Dune,Greig Fraser,1,2022
Cinematography,Nightmare Alley,Dan Laustsen,0,2022
Cinematography,The Power of the Dog,Ari Wegner,0,2022
Cinematography,The Tragedy of Macbeth,Bruno Delbonnel,0,2022
Cinematography,West Side Story,Janusz Kaminski,0,2022
Costume Design,Cruella,Jenny Beavan,1,2022
Costume Design,Cyrano,Massimo Cantini Parrini and Jacqueline Durran,0,2022
Costume Design,Dune,Jacqueline West and Robert Morgan,0,2022
Costume Design,Nightmare Alley,Luis Sequeira,0,2022
Costume Design,West Side Story,Paul Tazewell,0,2022
Directing,The Power of the Dog,Jane Campion,1,2022
Directing,Belfast,Kenneth Branagh,0,2022
Directing,Drive My Car,Ryusuke Hamaguchi,0,2022
Directing,Licorice Pizza,Paul Thomas Anderson,0,2022
Directing,West Side Story,Steven Spielberg,0,2022
Documentary (Feature),"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Ahmir ""Questlove"" Thompson, Joseph Patel, Robert Fyvolent and David Dinerstein",1,2022
Documentary (Feature),Ascension,"Jessica Kingdon, Kira Simon-Kennedy and Nathan Truesdell",0,2022
Documentary (Feature),Attica,Stanley Nelson and Traci A. Curry,0,2022
Documentary (Feature),Flee,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie",0,2022
Documentary (Feature),Writing with Fire,Rintu Thomas and Sushmit Ghosh,0,2022
Documentary (Short Subject),The Queen of Basketball,Ben Proudfoot,1,2022
Documentary (Short Subject),Audible,Matt Ogens and Geoff McLean,0,2022
Documentary (Short Subject),Lead Me Home,Pedro Kos and Jon Shenk,0,2022
Documentary (Short Subject),Three Songs for Benazir,Elizabeth Mirzaei and Gulistan Mirzaei,0,2022
Documentary (Short Subject),When We Were Bullies,Jay Rosenblatt,0,2022
Film Editing,Dune,Joe Walker,1,2022
Film Editing,Don't Look Up,Hank Corwin,0,2022
Film Editing,King Richard,Pamela Martin,0,2022
Film Editing,The Power of the Dog,Peter Sciberras,0,2022
Film Editing,"tick, tick...BOOM!",Myron Kerstein and Andrew Weisblum,0,2022
International Feature Film,Drive My Car,Japan,1,2022
International Feature Film,Flee,Denmark,0,2022
International Feature Film,The Hand of God,Italy,0,2022
International Feature Film,Lunana: A Yak in the Classroom,Bhutan,0,2022
International Feature Film,The Worst Person in the World,Norway,0,2022
Makeup and Hairstyling,The Eyes of Tammy Faye,"Linda Dowds, Stephanie Ingram and Justin Raleigh",1,2022
Makeup and Hairstyling,Coming 2 America,"Mike Marino, Stacey Morris and Carla Farmer",0,2022
Makeup and Hairstyling,Cruella,"Nadia Stacey, Naomi Donne and Julia Vernon",0,2022
Makeup and Hairstyling,Dune,"Donald Mowat, Love Larson and Eva von Bahr",0,2022
Makeup and Hairstyling,House of Gucci,"Göran Lundström, Anna Carin Lock and Frederic Aspiras",0,2022
Music (Original Score),Dune,Hans Zimmer,1,2022
Music (Original Score),Don't Look Up,Nicholas Britell,0,2022
Music (Original Score),Encanto,Germaine Franco,0,2022
Music (Original Score),Parallel Mothers,Alberto Iglesias,0,2022
Music (Original Score),The Power of the Dog,Jonny Greenwood,0,2022
Music (Original Song),No Time To Die,Billie Eilish and Finneas O'Connell,1,2022
Music (Original Song),Be Alive,DIXSON and Beyoncé Knowles-Carter,0,2022
Music (Original Song),Dos Oruguitas,Lin-Manuel Miranda,0,2022
Music (Original Song),Down To Joy,Van Morrison,0,2022
Music (Original Song),Somehow You Do,Diane Warren,0,2022
Best Picture,CODA,"Philippe Rousselet, Fabrice Gianfermi and Patrick Wachsberger, Producers",1,2022
Best Picture,Belfast,"Laura Berwick, Kenneth Branagh, Becca Kovacik and Tamar Thomas, Producers",0,2022
Best Picture,Don't Look Up,"Adam McKay and Kevin Messick, Producers",0,2022
Best Picture,Drive My Car,"Teruhisa Yamamoto, Producer",0,2022
Best Picture,Dune,"Mary Parent, Denis Villeneuve and Cale Boyter, Producers",0,2022
Best Picture,King Richard,"Tim White, Trevor White and Will Smith, Producers",0,2022
Best Picture,Licorice Pizza,"Sara Murphy, Adam Somner and Paul Thomas Anderson, Producers",0,2022
Best Picture,Nightmare Alley,"Guillermo del Toro, J. Miles Dale and Bradley Cooper, Producers",0,2022
Best Picture,The Power of the Dog,"Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning and Roger Frappier, Producers",0,2022
Best Picture,West Side Story,"Steven Spielberg and Kristie Macosko Krieger, Producers",0,2022
Production Design,Dune,Patrice Vermette; Set Decoration: Zsuzsanna Sipos,1,2022
Production Design,Nightmare Alley,Tamara Deverell; Set Decoration: Shane Vieau,0,2022
Production Design,The Power of the Dog,Grant Major; Set Decoration: Amber Richards,0,2022
Production Design,The Tragedy of Macbeth,Stefan Dechant; Set Decoration: Nancy Haigh,0,2022
Production Design,West Side Story,Adam Stockhausen; Set Decoration: Rena DeAngelo,0,2022
Short Film (Animated),The Windshield Wiper,Alberto Mielgo and Leo Sanchez,1,2022
Short Film (Animated),Affairs of the Art,Joanna Quinn and Les Mills,0,2022
Short Film (Animated),Bestia,Hugo Covarrubias and Tevo Díaz,0,2022
Short Film (Animated),Boxballet,Anton Dyakov,0,2022
Short Film (Animated),Robin Robin,Dan Ojari and Mikey Please,0,2022
Short Film (Live Action),The Long Goodbye,Aneil Karia and Riz Ahmed,1,2022
Short Film (Live Action),Ala Kachuu - Take and Run,Maria Brendle and Nadine Lüchinger,0,2022
Short Film (Live Action),The Dress,Tadeusz Łysiak and Maciej Ślesicki,0,2022
Short Film (Live Action),On My Mind,Martin Strange-Hansen and Kim Magnusson,0,2022
Short Film (Live Action),Please Hold,K.D. Dávila and Levin Menekse,0,2022
Sound,Dune,"Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill and Ron Bartlett",1,2022
Sound,Belfast,"Denise Yarde, Simon Chase, James Mather and Niv Adiri",0,2022
Sound,No Time To Die,"Simon Hayes, Oliver Tarney, James Harrison, Paul Massey and Mark Taylor",0,2022
Sound,The Power of the Dog,"Richard Flynn, Robert Mackenzie and Tara Webb",0,2022
Sound,West Side Story,"Tod A. Maitland, Gary Rydstrom, Brian Chumney, Andy Nelson and Shawn Murphy",0,2022
Visual Effects,Dune,"Paul Lambert, Tristan Myles, Brian Connor and Gerd Nefzer",1,2022
Visual Effects,Free Guy,"Swen Gillberg, Bryan Grill, Nikos Kalaitzidis and Dan Sudick",0,2022
Visual Effects,No Time To Die,"Charlie Noble, Joel Green, Jonathan Fawkner and Chris Corbould",0,2022
Visual Effects,Shang-Chi and the Legend of the Ten Rings,"Christopher Townsend, Joe Farrell, Sean Noel Walker and Dan Oliver",0,2022
Visual Effects,Spider-Man: No Way Home,"Kelly Port, Chris Waegner, Scott Edelstein and Dan Sudick",0,2022
Writing (Adapted Screenplay),CODA,Siân Heder,1,2022
Writing (Adapted Screenplay),Drive My Car,"Ryusuke Hamaguchi, Takamasa Oe",0,2022
Writing (Adapted Screenplay),Dune,"Jon Spaihts, Denis Villeneuve and Eric Roth",0,2022
Writing (Adapted Screenplay),The Lost Daughter,Maggie Gyllenhaal,0,2022
Writing (Adapted Screenplay),The Power of the Dog,Jane Campion,0,2022
Writing (Original Screenplay),Belfast,Kenneth Branagh,1,2022
Writing (Original Screenplay),Don't Look Up,Adam McKay,0,2022
Writing (Original Screenplay),King Richard,Zach Baylin,0,2022
Writing (Original Screenplay),Licorice Pizza,Paul Thomas Anderson,0,2022
Writing (Original Screenplay),The Worst Person in the World,"Eskil Vogt, Joachim Trier",0,2022
Actor in a Leading Role,The Father,Anthony Hopkins,1,2021
Actor in a Leading Role,Sound of Metal,Riz Ahmed,0,2021
Actor in a Leading Role,Ma Rainey's Black Bottom,Chadwick Boseman,0,2021
Actor in a Leading Role,Mank,Gary Oldman,0,2021
Actor in a Leading Role,Minari,Steven Yeun,0,2021
Actor in a Supporting Role,Judas and the Black Messiah,Daniel Kaluuya,1,2021
Actor in a Supporting Role,The Trial of the Chicago 7,Sacha Baron Cohen,0,2021
Actor in a Supporting Role,One Night in Miami...,"Leslie Odom, Jr.",0,2021
Actor in a Supporting Role,Sound of Metal,Paul Raci,0,2021
Actor in a Supporting Role,Judas and the Black Messiah,Lakeith Stanfield,0,2021
Actress in a Leading Role,Nomadland,Frances McDormand,1,2021
Actress in a Leading Role,Ma Rainey's Black Bottom,Viola Davis,0,2021
Actress in a Leading Role,The United States vs. Billie Holiday,Andra Day,0,2021
Actress in a Leading Role,Pieces of a Woman,Vanessa Kirby,0,2021
Actress in a Leading Role,Promising Young Woman,Carey Mulligan,0,2021
Actress in a Supporting Role,Minari,Yuh-Jung Youn,1,2021
Actress in a Supporting Role,Borat Subsequent Moviefilm,Maria Bakalova,0,2021
Actress in a Supporting Role,Hillbilly Elegy,Glenn Close,0,2021
Actress in a Supporting Role,The Father,Olivia Colman,0,2021
Actress in a Supporting Role,Mank,Amanda Seyfried,0,2021
Animated Feature Film,Soul,Pete Docter and Dana Murray,1,2021
Animated Feature Film,Onward,Dan Scanlon and Kori Rae,0,2021
Animated Feature Film,Over the Moon,"Glen Keane, Gennie Rim and Peilin Chou",0,2021
Animated Feature Film,A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher and Paul Kewley",0,2021
Animated Feature Film,Wolfwalkers,"Tomm Moore, Ross Stewart, Paul Young and Stéphan Roelants",0,2021
Cinematography,Mank,Erik Messerschmidt,1,2021
Cinematography,Judas and the Black Messiah,Sean Bobbitt,0,2021
Cinematography,News of the World,Dariusz Wolski,0,2021
Cinematography,Nomadland,Joshua James Richards,0,2021
Cinematography,The Trial of the Chicago 7,Phedon Papamichael,0,2021
Costume Design,Ma Rainey's Black Bottom,Ann Roth,1,2021
Costume Design,Emma,Alexandra Byrne,0,2021
Costume Design,Mank,Trish Summerville,0,2021
Costume Design,Mulan,Bina Daigeler,0,2021
Costume Design,Pinocchio,Massimo Cantini Parrini,0,2021
Directing,Nomadland,Chloé Zhao,1,2021
Directing,Another Round,Thomas Vinterberg,0,2021
Directing,Mank,David Fincher,0,2021
Directing,Minari,Lee Isaac Chung,0,2021
Directing,Promising Young Woman,Emerald Fennell,0,2021
Documentary (Feature),My Octopus Teacher,"Pippa Ehrlich, James Reed and Craig Foster",1,2021
Documentary (Feature),Collective,Alexander Nanau and Bianca Oana,0,2021
Documentary (Feature),Crip Camp,"Nicole Newnham, Jim LeBrecht and Sara Bolder",0,2021
Documentary (Feature),The Mole Agent,Maite Alberdi and Marcela Santibáñez,0,2021
Documentary (Feature),Time,"Garrett Bradley, Lauren Domino and Kellen Quinn",0,2021
Documentary (Short Subject),Colette,Anthony Giacchino and Alice Doyard,1,2021
Documentary (Short Subject),A Concerto Is a Conversation,Ben Proudfoot and Kris Bowers,0,2021
Documentary (Short Subject),Do Not Split,Anders Hammer and Charlotte Cook,0,2021
Documentary (Short Subject),Hunger Ward,Skye Fitzgerald and Michael Scheuerman,0,2021
Documentary (Short Subject),A Love Song for Latasha,Sophia Nahli Allison and Janice Duncan,0,2021
Film Editing,Sound of Metal,Mikkel E. G. Nielsen,1,2021
Film Editing,The Father,Yorgos Lamprinos,0,2021
Film Editing,Nomadland,Chloé Zhao,0,2021
Film Editing,Promising Young Woman,Frédéric Thoraval,0,2021
Film Editing,The Trial of the Chicago 7,Alan Baumgarten,0,2021
International Feature Film,Another Round,Denmark,1,2021
International Feature Film,Better Days,Hong Kong,0,2021
International Feature Film,Collective,Romania,0,2021
International Feature Film,The Man Who Sold His Skin,Tunisia,0,2021
International Feature Film,"Quo Vadis, Aida?",Bosnia and Herzegovina,0,2021
Makeup and Hairstyling,Ma Rainey's Black Bottom,"Sergio Lopez-Rivera, Mia Neal and Jamika Wilson",1,2021
Makeup and Hairstyling,Emma,"Marese Langan, Laura Allen and Claudia Stolze",0,2021
Makeup and Hairstyling,Hillbilly Elegy,"Eryn Krueger Mekash, Matthew Mungle and Patricia Dehaney",0,2021
Makeup and Hairstyling,Mank,"Gigi Williams, Kimberley Spiteri and Colleen LaBaff",0,2021
Makeup and Hairstyling,Pinocchio,"Mark Coulier, Dalia Colli and Francesco Pegoretti",0,2021
Music (Original Score),Soul,"Trent Reznor, Atticus Ross and Jon Batiste",1,2021
Music (Original Score),Da 5 Bloods,Terence Blanchard,0,2021
Music (Original Score),Mank,Trent Reznor and Atticus Ross,0,2021
Music (Original Score),Minari,Emile Mosseri,0,2021
Music (Original Score),News of the World,James Newton Howard,0,2021
Music (Original Song),Fight For You,Judas and the Black Messiah; Music by H.E.R. and Dernst Emile II; Lyric by H.E.R. and Tiara Thomas,1,2021
Music (Original Song),Hear My Voice,The Trial of the Chicago 7; Music by Daniel Pemberton; Lyric by Daniel Pemberton and Celeste Waite,0,2021
Music (Original Song),Husavik,"Eurovision Song Contest: The Story of Fire Saga; Music and Lyric by Savan Kotecha, Fat Max Gsus and Rickard Göransson",0,2021
Music (Original Song),Io Sì (Seen),The Life Ahead (La Vita Davanti a Se); Music by Diane Warren; Lyric by Diane Warren and Laura Pausini,0,2021
Music (Original Song),Speak Now,"One Night in Miami...; Music and Lyric by Leslie Odom, Jr. and Sam Ashworth",0,2021
Best Picture,Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers",1,2021
Best Picture,The Father,"David Parfitt, Jean-Louis Livi and Philippe Carcassonne, Producers",0,2021
Best Picture,Judas and the Black Messiah,"Shaka King, Charles D. King and Ryan Coogler, Producers",0,2021
Best Picture,Mank,"Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers",0,2021
Best Picture,Minari,"Christina Oh, Producer",0,2021
Best Picture,Promising Young Woman,"Ben Browning, Ashley Fox, Emerald Fennell and Josey McNamara, Producers",0,2021
Best Picture,Sound of Metal,"Bert Hamelinck and Sacha Ben Harroche, Producers",0,2021
Best Picture,The Trial of the Chicago 7,"Marc Platt and Stuart Besser, Producers",0,2021
Production Design,Mank,Production Design: Donald Graham Burt; Set Decoration: Jan Pascale,1,2021
Production Design,The Father,Production Design: Peter Francis; Set Decoration: Cathy Featherstone,0,2021
Production Design,Ma Rainey's Black Bottom,Production Design: Mark Ricker; Set Decoration: Karen O'Hara and Diana Stoughton,0,2021
Production Design,News of the World,Production Design: David Crank; Set Decoration: Elizabeth Keenan,0,2021
Production Design,Tenet,Production Design: Nathan Crowley; Set Decoration: Kathy Lucas,0,2021
Short Film (Animated),If Anything Happens I Love You,Will McCormack and Michael Govier,1,2021
Short Film (Animated),Burrow,Madeline Sharafian and Michael Capbarat,0,2021
Short Film (Animated),Genius Loci,Adrien Mérigeau and Amaury Ovise,0,2021
Short Film (Animated),Opera,Erick Oh,0,2021
Short Film (Animated),Yes-People,Gísli Darri Halldórsson and Arnar Gunnarsson,0,2021
Short Film (Live Action),Two Distant Strangers,Travon Free and Martin Desmond Roe,1,2021
Short Film (Live Action),Feeling Through,Doug Roland and Susan Ruzenski,0,2021
Short Film (Live Action),The Letter Room,Elvira Lind and Sofia Sondervan,0,2021
Short Film (Live Action),The Present,Farah Nabulsi and Ossama Bawardi,0,2021
Short Film (Live Action),White Eye,Tomer Shushan and Shira Hochman,0,2021
Sound,Sound of Metal,"Nicolas Becker, Jaime Baksht, Michellee Couttolenc, Carlos Cortés and Phillip Bladh",1,2021
Sound,Greyhound,"Warren Shaw, Michael Minkler, Beau Borders and David Wyman",0,2021
Sound,Mank,"Ren Klyce, Jeremy Molod, David Parker, Nathan Nance and Drew Kunin",0,2021
Sound,News of the World,"Oliver Tarney, Mike Prestwood Smith, William Miller and John Pritchett",0,2021
Sound,Soul,"Ren Klyce, Coya Elliott and David Parker",0,2021
Visual Effects,Tenet,"Andrew Jackson, David Lee, Andrew Lockley and Scott Fisher",1,2021
Visual Effects,Love and Monsters,"Matt Sloan, Genevieve Camilleri, Matt Everitt and Brian Cox",0,2021
Visual Effects,The Midnight Sky,"Matthew Kasmir, Christopher Lawrence, Max Solomon and David Watkins",0,2021
Visual Effects,Mulan,"Sean Faden, Anders Langlands, Seth Maury and Steve Ingram",0,2021
Visual Effects,The One and Only Ivan,"Nick Davis, Greg Fisher, Ben Jones and Santiago Colomo Martinez",0,2021
Writing (Adapted Screenplay),The Father,Screenplay by Christopher Hampton and Florian Zeller,1,2021
Writing (Adapted Screenplay),Borat Subsequent Moviefilm,Screenplay by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Peter Baynham & Erica Rivinoja & Dan Mazer & Jena Friedman & Lee Kern; Story by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Nina Pedrad,0,2021
Writing (Adapted Screenplay),Nomadland,Written for the screen by Chloé Zhao,0,2021
Writing (Adapted Screenplay),One Night in Miami...,Screenplay by Kemp Powers,0,2021
Writing (Adapted Screenplay),The White Tiger,Written for the screen by Ramin Bahrani,0,2021
Writing (Original Screenplay),Promising Young Woman,Written by Emerald Fennell,1,2021
Writing (Original Screenplay),Judas and the Black Messiah,Screenplay by Will Berson & Shaka King; Story by Will Berson & Shaka King and Kenny Lucas & Keith Lucas,0,2021
Writing (Original Screenplay),Minari,Written by Lee Isaac Chung,0,2021
Writing (Original Screenplay),Sound of Metal,Screenplay by Darius Marder & Abraham Marder; Story by Darius Marder & Derek Cianfrance,0,2021
Writing (Original Screenplay),The Trial of the Chicago 7,Written by Aaron Sorkin,0,2021
Actor in a Leading Role,Joker,Joaquin Phoenix,1,2020
Actor in a Leading Role,Pain and Glory,Antonio Banderas,0,2020
Actor in a Leading Role,Once upon a Time...in Hollywood,Leonardo DiCaprio,0,2020
Actor in a Leading Role,Marriage Story,Adam Driver,0,2020
Actor in a Leading Role,The Two Popes,Jonathan Pryce,0,2020
Actor in a Supporting Role,Once upon a Time...in Hollywood,Brad Pitt,1,2020
Actor in a Supporting Role,A Beautiful Day in the Neighborhood,Tom Hanks,0,2020
Actor in a Supporting Role,The Two Popes,Anthony Hopkins,0,2020
Actor in a Supporting Role,The Irishman,Al Pacino,0,2020
Actor in a Supporting Role,The Irishman,Joe Pesci,0,2020
Actress in a Leading Role,Judy,Renée Zellweger,1,2020
Actress in a Leading Role,Harriet,Cynthia Erivo,0,2020
Actress in a Leading Role,Marriage Story,Scarlett Johansson,0,2020
Actress in a Leading Role,Little Women,Saoirse Ronan,0,2020
Actress in a Leading Role,Bombshell,Charlize Theron,0,2020
Actress in a Supporting Role,Marriage Story,Laura Dern,1,2020
Actress in a Supporting Role,Richard Jewell,Kathy Bates,0,2020
Actress in a Supporting Role,Jojo Rabbit,Scarlett Johansson,0,2020
Actress in a Supporting Role,Little Women,Florence Pugh,0,2020
Actress in a Supporting Role,Bombshell,Margot Robbie,0,2020
Animated Feature Film,Toy Story 4,"Josh Cooley, Mark Nielsen and Jonas Rivera",1,2020
Animated Feature Film,How to Train Your Dragon: The Hidden World,"Dean DeBlois, Bradford Lewis and Bonnie Arnold",0,2020
Animated Feature Film,I Lost My Body,Jérémy Clapin and Marc du Pontavice,0,2020
Animated Feature Film,Klaus,"Sergio Pablos, Jinko Gotoh and Marisa Román",0,2020
Animated Feature Film,Missing Link,"Chris Butler, Arianne Sutner and Travis Knight",0,2020
Cinematography,1917,Roger Deakins,1,2020
Cinematography,The Irishman,Rodrigo Prieto,0,2020
Cinematography,Joker,Lawrence Sher,0,2020
Cinematography,The Lighthouse,Jarin Blaschke,0,2020
Cinematography,Once upon a Time...in Hollywood,Robert Richardson,0,2020
Costume Design,Little Women,Jacqueline Durran,1,2020
Costume Design,The Irishman,Sandy Powell and Christopher Peterson,0,2020
Costume Design,Jojo Rabbit,Mayes C. Rubeo,0,2020
Costume Design,Joker,Mark Bridges,0,2020
Costume Design,Once upon a Time...in Hollywood,Arianne Phillips,0,2020
Directing,Parasite,Bong Joon Ho,1,2020
Directing,The Irishman,Martin Scorsese,0,2020
Directing,Joker,Todd Phillips,0,2020
Directing,1917,Sam Mendes,0,2020
Directing,Once upon a Time...in Hollywood,Quentin Tarantino,0,2020
Documentary (Feature),American Factory,"Steven Bognar, Julia Reichert and Jeff Reichert",1,2020
Documentary (Feature),The Cave,"Feras Fayyad, Kirstine Barfod and Sigrid Dyekjær",0,2020
Documentary (Feature),The Edge of Democracy,"Petra Costa, Joanna Natasegara, Shane Boris and Tiago Pavan",0,2020
Documentary (Feature),For Sama,Waad al-Kateab and Edward Watts,0,2020
Documentary (Feature),Honeyland,"Ljubo Stefanov, Tamara Kotevska and Atanas Georgiev",0,2020
Documentary (Short Subject),Learning to Skateboard in a Warzone (If You're a Girl),Carol Dysinger and Elena Andreicheva,1,2020
Documentary (Short Subject),In the Absence,Yi Seung-Jun and Gary Byung-Seok Kam,0,2020
Documentary (Short Subject),Life Overtakes Me,John Haptas and Kristine Samuelson,0,2020
Documentary (Short Subject),St. Louis Superman,Smriti Mundhra and Sami Khan,0,2020
Documentary (Short Subject),Walk Run Cha-Cha,Laura Nix and Colette Sandstedt,0,2020
Film Editing,Ford v Ferrari,Michael McCusker and Andrew Buckland,1,2020
Film Editing,The Irishman,Thelma Schoonmaker,0,2020
Film Editing,Jojo Rabbit,Tom Eagles,0,2020
Film Editing,Joker,Jeff Groth,0,2020
Film Editing,Parasite,Yang Jinmo,0,2020
International Feature Film,Parasite,South Korea,1,2020
International Feature Film,Corpus Christi,Poland,0,2020
International Feature Film,Honeyland,North Macedonia,0,2020
International Feature Film,Les Misérables,France,0,2020
International Feature Film,Pain and Glory,Spain,0,2020
Makeup and Hairstyling,Bombshell,"Kazu Hiro, Anne Morgan and Vivian Baker",1,2020
Makeup and Hairstyling,Joker,Nicki Ledermann and Kay Georgiou,0,2020
Makeup and Hairstyling,Judy,Jeremy Woodhead,0,2020
Makeup and Hairstyling,Maleficent: Mistress of Evil,"Paul Gooch, Arjen Tuiten and David White",0,2020
Makeup and Hairstyling,1917,"Naomi Donne, Tristan Versluis and Rebecca Cole",0,2020
Music (Original Score),Joker,Hildur Guðnadóttir,1,2020
Music (Original Score),Little Women,Alexandre Desplat,0,2020
Music (Original Score),Marriage Story,Randy Newman,0,2020
Music (Original Score),1917,Thomas Newman,0,2020
Music (Original Score),Star Wars: The Rise of Skywalker,John Williams,0,2020
Music (Original Song),Rocketman,(I'm Gonna) Love Me Again (Music by Elton John; Lyric by Bernie Taupin),1,2020
Music (Original Song),Toy Story 4,I Can't Let You Throw Yourself Away (Music and Lyric by Randy Newman),0,2020
Music (Original Song),Breakthrough,I'm Standing With You (Music and Lyric by Diane Warren),0,2020
Music (Original Song),Frozen II,Into The Unknown (Music and Lyric by Kristen Anderson-Lopez and Robert Lopez),0,2020
Music (Original Song),Harriet,Stand Up (Music and Lyric by Joshuah Brian Campbell and Cynthia Erivo),0,2020
Best Picture,Parasite,"Kwak Sin Ae and Bong Joon Ho, Producers",1,2020
Best Picture,Ford v Ferrari,"Peter Chernin, Jenno Topping and James Mangold, Producers",0,2020
Best Picture,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers",0,2020
Best Picture,Jojo Rabbit,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers",0,2020
Best Picture,Joker,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",0,2020
Best Picture,Little Women,"Amy Pascal, Producer",0,2020
Best Picture,Marriage Story,"Noah Baumbach and David Heyman, Producers",0,2020
Best Picture,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",0,2020
Best Picture,Once upon a Time...in Hollywood,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers",0,2020
Production Design,Once upon a Time...in Hollywood,Barbara Ling; Set Decoration: Nancy Haigh,1,2020
Production Design,The Irishman,Bob Shaw; Set Decoration: Regina Graves,0,2020
Production Design,Jojo Rabbit,Ra Vincent; Set Decoration: Nora Sopková,0,2020
Production Design,1917,Dennis Gassner; Set Decoration: Lee Sandales,0,2020
Production Design,Parasite,Lee Ha Jun; Set Decoration: Cho Won Woo,0,2020
Short Film (Animated),Hair Love,Matthew A. Cherry and Karen Rupert Toliver,1,2020
Short Film (Animated),Dcera (Daughter),Daria Kashcheeva,0,2020
Short Film (Animated),Kitbull,Rosana Sullivan and Kathryn Hendrickson,0,2020
Short Film (Animated),Memorable,Bruno Collet and Jean-François Le Corre,0,2020
Short Film (Animated),Sister,Siqi Song,0,2020
Short Film (Live Action),The Neighbors' Window,Marshall Curry,1,2020
Short Film (Live Action),Brotherhood,Meryam Joobeur and Maria Gracia Turgeon,0,2020
Short Film (Live Action),Nefta Football Club,Yves Piat and Damien Megherbi,0,2020
Short Film (Live Action),Saria,Bryan Buckley and Matt Lefebvre,0,2020
Short Film (Live Action),A Sister,Delphine Girard,0,2020
Sound Editing,Ford v Ferrari,Donald Sylvester,1,2020
Sound Editing,Joker,Alan Robert Murray,0,2020
Sound Editing,1917,Oliver Tarney and Rachael Tate,0,2020
Sound Editing,Once upon a Time...in Hollywood,Wylie Stateman,0,2020
Sound Editing,Star Wars: The Rise of Skywalker,Matthew Wood and David Acord,0,2020
Sound Mixing,1917,Mark Taylor and Stuart Wilson,1,2020
Sound Mixing,Ad Astra,"Gary Rydstrom, Tom Johnson and Mark Ulano",0,2020
Sound Mixing,Ford v Ferrari,"Paul Massey, David Giammarco and Steven A. Morrow",0,2020
